年別,總計－男性,總計－女性,年齡未滿20歲－男性,年齡未滿20歲－女性,年齡20-24歲－男性,年齡20-24歲－女性,年齡25-29歲－男性,年齡25-29歲－女性,年齡30-34歲－男性,年齡30-34歲－女性,年齡35-39歲－男性,年齡35-39歲－女性,年齡40-44歲－男性,年齡40-44歲－女性,年齡45歲以上－男性,年齡45歲以上－女性
97,19057,19057,83,378,881,2560,4640,7336,7489,6469,4236,2016,1257,289,471,9
98,18618,18618,54,347,713,2087,4363,6891,7512,6737,4166,2239,1323,306,487,11
99,15792,15792,51,285,604,1736,3291,5144,6171,6050,3885,2244,1310,318,480,15
100,18128,18128,56,286,646,1818,3647,5863,7349,7306,4426,2469,1510,372,494,14
101,20322,20322,84,328,750,1892,3770,6294,8190,8352,5249,3032,1679,414,600,10
102,16436,16436,63,303,679,1585,2969,4526,6358,6700,4291,2863,1508,439,568,20
103,17471,17471,59,304,956,1621,3050,4721,6294,7134,4556,3140,1776,531,780,20
104,22513,22513,67,387,971,2000,3978,5811,8598,9263,6208,4397,1950,635,741,20
105,23752,23752,67,397,1047,2081,4188,6048,8606,9321,6925,5096,2195,773,724,36
106,23430,23430,56,383,1090,2066,4141,5970,8156,8839,6908,5303,2324,843,755,26
107,22568,22568,53,323,1055,2014,4107,5773,7597,8330,6663,5169,2312,928,781,31
108,22493,22493,62,289,983,1940,4014,5626,7484,8265,6743,5293,2443,1040,764,40
109,21005,21005,48,291,929,1745,3825,5164,6970,7701,6128,5002,2364,1042,741,60
110,20541,20541,61,247,841,1675,3669,5028,7027,7645,5794,4762,2412,1121,737,63
